15.5.2024. 00:24:31|Entitet_1:4,9167996949641
15.5.2024. 16:37:50|Entitet_2:2,73559274567552
15.5.2024. 16:37:55|Entitet_3:3,54451829641337
15.5.2024. 16:37:58|Entitet_3:4,54443074659185
15.5.2024. 16:38:03|Entitet_0:4,47320875252281
15.5.2024. 16:38:09|Entitet_3:1,91713491523971
15.5.2024. 16:38:15|Entitet_2:2,97714470690449
15.5.2024. 16:38:20|Entitet_3:4,26482683904694
15.5.2024. 16:38:24|Entitet_2:4,48051497173985
15.5.2024. 16:38:30|Entitet_1:3,47519171531088
15.5.2024. 16:38:35|Entitet_0:0,0570981649389016
15.5.2024. 16:38:40|Entitet_2:4,00292098561903
15.5.2024. 16:38:43|Entitet_2:3,0511216691421
15.5.2024. 16:38:49|Entitet_3:0,112214477775718
15.5.2024. 16:38:56|Entitet_0:3,81266690386118
15.5.2024. 16:39:02|Entitet_0:0,166901013011532
15.5.2024. 16:45:01|Entitet_3:0,614145792380043
15.5.2024. 16:45:04|Entitet_3:3,60202567264998
15.5.2024. 16:45:08|Entitet_0:3,14754054689665
15.5.2024. 16:45:12|Entitet_1:4,33886967411678
15.5.2024. 16:45:18|Entitet_3:5,30338601606124
15.5.2024. 16:45:23|Entitet_1:3,07090774657713
15.5.2024. 16:45:29|Entitet_3:0,610757136615346
15.5.2024. 16:45:33|Entitet_0:0,82644526930826
15.5.2024. 16:45:38|Entitet_3:4,77226808998839
15.5.2024. 16:45:41|Entitet_0:1,96468023417736
15.5.2024. 16:45:47|Entitet_0:4,61126649253129
15.5.2024. 16:45:50|Entitet_1:0,923531091913363
15.5.2024. 16:45:56|Entitet_3:4,73760479943715
15.5.2024. 16:45:59|Entitet_1:0,265645081333651
15.5.2024. 16:46:02|Entitet_2:4,03774927908916
15.5.2024. 16:46:09|Entitet_2:5,00226562103362
15.5.2024. 16:46:15|Entitet_3:0,284935508335445
15.5.2024. 16:46:19|Entitet_2:4,11670726997624
15.5.2024. 16:46:22|Entitet_2:4,06318333002421
15.5.2024. 16:46:26|Entitet_2:0,662787833769241
15.5.2024. 16:46:32|Entitet_3:3,97997712817042
15.5.2024. 16:46:39|Entitet_0:0,334641014921777
15.5.2024. 16:46:44|Entitet_3:1,04764333833831
15.5.2024. 16:46:48|Entitet_0:1,07191479398958
15.5.2024. 16:46:52|Entitet_2:1,09618624964086
15.5.2024. 16:46:56|Entitet_2:2,97624624462623
15.5.2024. 16:47:00|Entitet_1:2,71317779591455
15.5.2024. 16:47:06|Entitet_3:0,731783767357368
15.5.2024. 16:47:12|Entitet_3:2,4805244267874
15.5.2024. 16:47:16|Entitet_1:4,97151989393473
15.5.2024. 16:49:56|Entitet_0:1,63141999933935
15.5.2024. 16:50:01|Entitet_3:2,02082675495689
15.5.2024. 16:50:06|Entitet_2:5,06880397671312
15.5.2024. 16:50:13|Entitet_0:4,84770503776972
15.5.2024. 16:50:17|Entitet_0:1,63915599615739
15.5.2024. 16:50:22|Entitet_2:1,16654303868606
15.5.2024. 16:50:25|Entitet_3:0,807551362653054
15.5.2024. 16:50:31|Entitet_3:5,3877215559444
15.5.2024. 16:50:36|Entitet_3:0,80214055640257
15.5.2024. 16:50:41|Entitet_0:1,00013063497847
15.5.2024. 16:50:47|Entitet_3:4,31731992937965
15.5.2024. 16:50:51|Entitet_1:5,14394353423451
15.5.2024. 16:50:54|Entitet_1:2,64182341450445
15.5.2024. 16:51:23|Entitet_1:3,09906350842633
15.5.2024. 16:51:29|Entitet_1:3,5843934913652
15.5.2024. 16:51:32|Entitet_3:4,29696603718072
15.5.2024. 16:51:39|Entitet_3:1,35805884581434
15.5.2024. 16:51:44|Entitet_0:0,179016966460746
15.5.2024. 16:51:50|Entitet_1:2,92152645213601
15.5.2024. 16:51:54|Entitet_0:4,51424654275842
15.5.2024. 16:51:59|Entitet_1:4,42489671697137
15.5.2024. 16:52:02|Entitet_1:3,58714845953376
15.5.2024. 16:52:08|Entitet_1:0,516062377410039
15.5.2024. 16:52:15|Entitet_2:3,06715518604366
15.5.2024. 16:52:18|Entitet_1:0,756451743355231
15.5.2024. 16:57:39|Entitet_2:1,96089441638947
15.5.2024. 16:57:44|Entitet_2:4,91294841082438
15.5.2024. 16:57:48|Entitet_3:2,69816819545728
15.5.2024. 16:57:52|Entitet_3:2,12963201066462
15.5.2024. 16:58:32|Entitet_0:4,72501951963409
15.5.2024. 16:58:39|Entitet_2:3,92924077196477
15.5.2024. 16:58:42|Entitet_2:1,73258838831568
15.5.2024. 16:58:46|Entitet_2:4,97155250951254
15.5.2024. 16:58:53|Entitet_1:5,45731227005241
15.5.2024. 17:03:02|Entitet_1:2,07607481345817
15.5.2024. 17:03:06|Entitet_0:1,12470527458224
15.5.2024. 17:03:11|Entitet_1:0,0411568449489571
15.5.2024. 17:03:15|Entitet_2:2,32260780333663
15.5.2024. 17:03:21|Entitet_3:3,97542523544534
15.5.2024. 17:03:27|Entitet_0:4,26933854134257
15.5.2024. 17:03:31|Entitet_0:1,74909058989449
15.5.2024. 17:03:38|Entitet_0:3,00094683620192
15.5.2024. 17:03:42|Entitet_3:4,97693005850861
15.5.2024. 17:03:48|Entitet_1:3,89381140647634
15.5.2024. 17:03:51|Entitet_1:0,511543741939377
15.5.2024. 17:03:56|Entitet_2:1,18829040191988
15.5.2024. 17:04:02|Entitet_1:5,30783184552464
15.5.2024. 17:04:09|Entitet_3:5,48812386998354
15.5.2024. 17:04:14|Entitet_3:0,980338266045013
15.5.2024. 17:08:42|Entitet_1:3,53362387790513
15.5.2024. 17:08:47|Entitet_0:2,96551747071348
15.5.2024. 17:08:52|Entitet_1:3,06758432196806
15.5.2024. 17:08:55|Entitet_1:0,565464202237997
15.5.2024. 17:09:02|Entitet_3:4,4573333053651
15.5.2024. 17:09:08|Entitet_2:5,24813102438493
15.5.2024. 17:09:13|Entitet_1:3,17081376850643
15.5.2024. 17:09:19|Entitet_2:0,537374313221022
15.5.2024. 17:15:04|Entitet_0:1,21684268411568
15.5.2024. 17:15:07|Entitet_2:1,94754306164921
15.5.2024. 17:15:11|Entitet_2:3,54026315227163
15.5.2024. 17:43:18|Entitet_0:1,62526880055446
15.5.2024. 17:43:22|Entitet_0:1,72733565180904
15.5.2024. 17:43:28|Entitet_3:1,12297358118136
15.5.2024. 17:43:35|Entitet_1:3,75186178541829
15.5.2024. 17:43:42|Entitet_1:0,106525672169647
15.5.2024. 17:43:47|Entitet_3:3,2499963436462
15.5.2024. 17:43:52|Entitet_2:3,4479864222221
15.5.2024. 17:43:58|Entitet_3:4,50799621388688
15.5.2024. 17:44:02|Entitet_0:3,65212012473127
15.5.2024. 17:44:08|Entitet_2:0,13853312463897
15.5.2024. 17:44:12|Entitet_1:1,23436880213878
15.5.2024. 17:44:16|Entitet_2:3,89865311460972
15.5.2024. 17:44:19|Entitet_3:4,62935349214326
15.5.2024. 17:44:24|Entitet_1:0,33111239696439
15.5.2024. 17:44:30|Entitet_2:2,88220520559801
15.5.2024. 17:44:37|Entitet_0:0,308433314197899
15.5.2024. 17:44:43|Entitet_3:0,680142015698432
15.5.2024. 17:44:47|Entitet_2:0,111605830905775
15.5.2024. 17:44:54|Entitet_0:0,98019894552892
15.5.2024. 17:45:00|Entitet_0:1,27411225142615
15.5.2024. 17:45:05|Entitet_0:4,495378318506
15.5.2024. 17:45:12|Entitet_3:4,56161928392557
15.5.2024. 17:45:15|Entitet_3:0,700595037984007
15.5.2024. 17:45:21|Entitet_2:1,18592502092287
15.5.2024. 17:45:26|Entitet_2:3,14378041151156
15.5.2024. 17:45:32|Entitet_3:4,60518116657863
16.5.2024. 21:58:47|Entitet_0:0,765561211861466
16.5.2024. 21:58:54|Entitet_2:1,71194972208792
16.5.2024. 21:58:59|Entitet_2:4,66400371652283
16.5.2024. 21:59:05|Entitet_1:0,539481244268586
16.5.2024. 21:59:11|Entitet_0:2,07824761733797
16.5.2024. 21:59:18|Entitet_2:0,612295611222412
16.5.2024. 21:59:21|Entitet_1:4,55768865430154
16.5.2024. 21:59:25|Entitet_1:0,277575390840683
16.5.2024. 21:59:30|Entitet_2:2,52277068579233
16.5.2024. 21:59:37|Entitet_3:3,19994712337383
16.5.2024. 21:59:42|Entitet_3:1,4280976035763
16.5.2024. 21:59:48|Entitet_0:2,81170296304007
16.5.2024. 21:59:51|Entitet_0:3,045518927451
16.5.2024. 21:59:57|Entitet_1:0,202105185804938
16.5.2024. 22:00:00|Entitet_3:5,04577360540897
16.5.2024. 22:00:07|Entitet_3:2,6634183910505
16.5.2024. 22:00:11|Entitet_1:4,1606450319526
16.5.2024. 22:00:15|Entitet_2:1,83181375754616
17.5.2024. 14:28:39|Entitet_2:0,51222370950143
17.5.2024. 14:28:46|Entitet_2:4,2308039673049
17.5.2024. 14:28:50|Entitet_3:2,78212023770535
17.5.2024. 14:28:55|Entitet_3:4,5485589512524
17.5.2024. 14:29:00|Entitet_1:1,70514520960634
17.5.2024. 14:29:05|Entitet_1:4,67532703575926
17.5.2024. 14:29:09|Entitet_1:2,42429115695613
17.5.2024. 14:29:15|Entitet_3:0,173685055754001
17.5.2024. 14:29:21|Entitet_0:3,60492540919451
17.5.2024. 14:29:25|Entitet_0:1,46794058943071
17.5.2024. 14:29:31|Entitet_1:1,64780283628861
20.5.2024. 11:47:42|Entitet_1:4,74422842303022
20.5.2024. 11:47:46|Entitet_0:3,87022450215659
20.5.2024. 11:47:49|Entitet_3:2,43966860427506
20.5.2024. 11:47:54|Entitet_1:0,685946916195539
20.5.2024. 11:48:01|Entitet_3:5,38016816852622
20.5.2024. 11:48:04|Entitet_1:3,1472601214411
20.5.2024. 11:48:12|Entitet_2:1,47176360656589
20.5.2024. 11:48:16|Entitet_3:3,54367005619391
20.5.2024. 11:48:22|Entitet_2:3,13072466260787
20.5.2024. 11:48:27|Entitet_0:3,63418247726475
20.5.2024. 18:34:51|Entitet_0:2,77618036526543
20.5.2024. 18:34:54|Entitet_0:2,43531652095044
20.5.2024. 18:35:00|Entitet_1:4,08813395305915
20.5.2024. 18:35:06|Entitet_3:3,1009385283482
20.5.2024. 18:35:10|Entitet_0:4,31039548728633
20.5.2024. 18:48:21|Entitet_0:5,0670914390204
20.5.2024. 18:48:27|Entitet_0:3,98397278698812
20.5.2024. 18:48:31|Entitet_2:2,32574454862892
20.5.2024. 18:48:36|Entitet_1:3,02061904032743
20.5.2024. 18:48:41|Entitet_3:4,80518558559249
20.5.2024. 18:48:45|Entitet_3:2,36273302974772
20.5.2024. 18:48:51|Entitet_3:0,417594664626566
20.5.2024. 18:48:56|Entitet_2:4,71042495355495
20.5.2024. 18:49:02|Entitet_2:1,57967130754593
20.5.2024. 18:49:07|Entitet_2:4,24438539761788
20.5.2024. 18:49:14|Entitet_0:4,11920968599581
20.5.2024. 18:49:19|Entitet_0:1,85047575307566
20.5.2024. 18:49:23|Entitet_3:4,53288789726463
20.5.2024. 18:49:29|Entitet_2:0,713833161091354
20.5.2024. 18:49:35|Entitet_2:1,5824262757145
20.5.2024. 18:49:40|Entitet_2:0,612928905120552
20.5.2024. 18:49:44|Entitet_2:0,140315947649216
20.5.2024. 18:49:50|Entitet_1:2,5773576972435
20.5.2024. 18:49:56|Entitet_1:5,0325272785558
